match_id,round,date,team,opponent,is_home,team_score,opponent_score,formation,possession_pct,goals,xg,shots,shots_on_target,passes,passes_completed,pass_completion_pct,completed_line_breaks,defensive_line_breaks,receptions_final_third,crosses,ball_progressions,def_pressures,def_pressures_direct,forced_turnovers,second_balls,total_distance_km,zone4_low_speed_sprint_km,phase_build_up_unopposed_pct,phase_build_up_opposed_pct,phase_progression_pct,phase_final_third_pct,phase_long_ball_pct,phase_attacking_transition_pct,phase_counter_attack_pct,phase_set_piece_pct,phase_high_press_pct,phase_mid_press_pct,phase_low_press_pct,phase_high_block_pct,phase_mid_block_pct,phase_low_block_pct,phase_recovery_pct,phase_defensive_transition_pct,phase_counter_press_pct,avg_pressure_duration_s,ball_recovery_time_s,pushing_on_into_pressing,pushing_on,pressing_direction_inside,pressing_direction_outside,ip_build_up_low_team_width_m,ip_build_up_low_team_length_m,ip_build_up_low_line_height_m,ip_build_up_mid_team_width_m,ip_build_up_mid_team_length_m,ip_build_up_mid_line_height_m,ip_final_third_phase_team_width_m,ip_final_third_phase_team_length_m,ip_final_third_phase_line_height_m,oop_high_block_press_team_width_m,oop_high_block_press_team_length_m,oop_high_block_press_line_height_m,oop_mid_block_team_width_m,oop_mid_block_team_length_m,oop_mid_block_line_height_m,oop_low_block_team_width_m,oop_low_block_team_length_m,oop_low_block_line_height_m,lb_4u_attempted,lb_3u_attempted,lb_2u_attempted,lb_4u_inside_shape,lb_3u_inside_shape,lb_2u_inside_shape,lb_4u_outside_shape,lb_3u_outside_shape,lb_2u_outside_shape,offers_made_total,offers_received_total,offers_made_final_third,offers_made_middle_third,offers_made_defensive_third,offers_made_inside_shape,offers_made_outside_shape,possession_regained_total,interceptions_total,tackles_total,possession_actions_per_defensive_action,blocks_total,possession_contests_total,total_set_plays,corner_direct_to_area_left,corner_direct_to_area_right,corner_direct_to_area_total,corner_short_left,corner_short_right,corner_short_total,corner_edge_box_left,corner_edge_box_right,corner_edge_box_total,corner_inswing,corner_outswing,corner_driven,corner_lofted,freekick_direct,freekick_direct_on_target,freekick_direct_off_target,freekick_indirect,total_free_kicks,total_penalties,total_corners,total_throw_ins,movement_final_third_phase_total,movement_progression_phase_total,movement_build_up_phase_total,movement_all_types_total,movement_final_third_in_front,movement_final_third_in_between,movement_final_third_out_to_in,movement_final_third_in_to_out,movement_final_third_in_behind,movement_middle_third_in_front,movement_middle_third_in_between,movement_middle_third_out_to_in,movement_middle_third_in_to_out,movement_middle_third_in_behind,movement_defensive_third_in_front,movement_defensive_third_in_between,movement_defensive_third_out_to_in,movement_defensive_third_in_to_out,movement_defensive_third_in_behind
6,Group D,13 June 2026,Australia,Türkiye,True,2,0,5-4-1,27.0,2,0.99,9,4,293,224,76,56,10,68,14,22,384,57,35,62,116.6,5.6,20,13,11,12,9,22,1,9,1,2,0,1,18,56,4,7,6,1.61,23.57,197,291,56,243,50,36,15,51,34,41,39,35,58,38,36,49,38,22,38,33,16,18,6,59,32,3,31,25,3,28,7,193,74,70,70,53,105,88,48,6,34,1.76,36,47,26,1,4,5,0,0,0,0,0,0,2,1,0,2,4,0,0,3,7,0,5,14,29,42,67,150,5,18,5,1,32,27,20,1,2,9,25,3,1,1,0
6,Group D,13 June 2026,Türkiye,Australia,False,0,2,4-2-3-1,73.0,0,1.66,30,7,722,663,92,132,15,348,28,38,170,31,30,87,112.5,5.1,41,19,21,34,1,7,2,7,11,4,1,6,7,9,5,22,14,1.51,10.66,77,167,35,98,52,37,21,55,29,46,46,25,65,40,36,50,38,32,41,32,25,12,4,49,113,1,21,51,3,28,62,533,190,373,136,24,300,233,33,6,32,7.3,17,46,45,5,1,6,1,1,2,0,0,0,5,1,0,0,12,2,0,1,13,0,8,24,205,120,265,411,101,54,4,7,148,48,27,4,2,5,8,3,0,0,0
7,Group C,13 June 2026,Brazil,Morocco,True,1,1,4-4-2,46.7,1,0.99,12,5,514,457,89,89,11,100,19,30,315,54,41,56,113.7,6.8,41,13,18,11,2,12,1,5,7,3,0,6,16,19,6,16,10,1.58,18.03,133,294,57,187,57,39,21,56,32,43,46,35,57,43,35,49,40,28,41,35,23,17,4,84,31,4,32,18,0,52,13,348,155,126,178,44,174,174,48,15,54,3.3,18,38,38,3,3,6,0,0,0,0,0,0,6,0,0,0,14,0,0,1,15,0,6,17,53,78,130,241,19,21,1,6,58,48,30,7,5,19,17,10,0,0,0
7,Group C,13 June 2026,Morocco,Brazil,False,1,1,4-2-3-1,53.3,1,1.33,14,3,503,431,86,81,5,149,14,49,285,41,50,79,114.9,6.5,31,14,15,17,5,16,2,6,4,4,1,3,34,20,5,12,8,1.59,16.83,145,275,33,189,52,38,19,56,31,44,45,34,56,39,38,48,42,24,36,36,20,19,5,90,37,4,57,22,1,33,15,400,148,181,159,60,226,174,47,10,33,4.69,16,34,31,0,2,2,0,0,0,0,0,0,1,1,0,0,16,0,0,0,16,0,2,13,88,88,130,301,4,60,4,8,81,41,45,5,7,18,19,8,0,1,0
8,Group B,13 June 2026,Qatar,Switzerland,True,1,1,4-2-3-1,28.8,1,0.52,6,3,289,213,74,58,2,41,8,13,294,42,36,53,109.2,4.8,29,12,11,8,9,19,3,7,0,2,1,4,17,47,3,10,8,1.54,18.41,139,269,42,190,54,40,15,53,33,44,47,37,51,37,36,51,36,24,37,33,19,18,9,76,22,6,53,13,3,23,9,216,65,65,87,64,116,100,46,5,33,1.86,31,37,29,0,2,2,1,0,1,0,0,0,0,2,0,0,11,0,0,1,12,0,3,14,33,55,82,169,3,8,1,2,46,26,21,3,5,11,28,8,3,4,0
8,Group B,13 June 2026,Switzerland,Qatar,False,1,1,4-3-3,71.2,1,3.14,26,7,591,542,92,122,17,245,34,31,165,33,42,70,109.4,5.6,44,14,22,28,1,10,1,5,9,3,0,10,13,8,8,19,14,1.78,13.22,77,171,30,95,50,40,18,52,30,47,45,28,64,40,36,52,39,30,37,37,25,20,3,68,83,0,30,33,3,38,50,325,105,205,104,16,202,123,41,12,14,8.46,16,36,39,2,7,9,1,0,1,0,0,0,5,3,0,1,11,0,0,0,11,1,10,17,119,110,159,261,27,46,4,4,100,44,17,1,1,10,2,3,1,1,0
9,Group E,14 June 2026,Côte d'Ivoire,Ecuador,True,1,0,4-4-2,41.9,1,1.88,15,4,471,413,88,113,11,120,15,39,288,31,44,63,109.6,5.8,27,14,18,22,3,16,1,5,5,5,0,11,27,12,4,14,9,1.47,17.27,151,304,47,169,56,41,21,56,34,41,45,35,55,40,36,47,39,26,37,35,26,17,6,108,30,3,53,15,3,55,15,333,128,139,148,46,179,154,44,11,23,4.92,17,36,30,1,1,2,1,0,1,0,0,0,1,1,0,0,13,0,0,0,13,0,3,14,84,78,112,243,12,37,6,3,60,22,52,6,5,18,15,6,1,0,0
9,Group E,14 June 2026,Ecuador,Côte d'Ivoire,False,0,1,4-4-2,58.1,0,1.36,12,1,513,438,85,106,8,97,14,16,280,61,49,60,108.4,5.7,38,12,20,11,5,14,0,4,6,4,1,4,19,24,4,16,12,1.56,15.65,129,291,39,164,56,39,19,57,34,40,45,37,53,42,38,47,41,30,36,37,24,15,11,104,32,8,52,19,3,52,13,339,147,108,166,65,174,165,50,8,37,4.15,21,40,29,3,2,5,0,0,0,0,0,0,4,1,0,0,10,0,0,0,10,0,5,14,60,98,116,253,11,23,5,4,51,51,31,6,8,25,21,13,0,4,0
10,Group E,14 June 2026,Germany,Curaçao,True,7,1,3-4-3,57.8,7,4.17,26,12,641,569,89,125,18,252,20,32,227,55,46,82,116.2,6.3,35,17,19,23,1,13,0,7,9,6,0,8,11,13,8,20,15,1.64,11.42,97,221,45,118,50,36,21,51,27,46,39,27,64,37,35,50,36,24,38,35,22,19,6,90,62,5,44,24,1,46,38,445,153,253,159,33,243,202,41,8,41,5.99,20,30,37,2,5,7,0,1,1,0,0,0,7,0,0,0,10,0,0,1,11,1,8,17,120,115,173,340,33,56,8,2,113,75,27,1,6,6,9,4,0,0,0
10,Group E,14 June 2026,Curaçao,Germany,False,1,7,4-1-2-3,42.2,1,0.4,8,2,362,291,80,72,6,61,5,34,339,48,43,58,103.5,5.0,25,15,19,9,5,20,1,6,2,2,1,1,25,37,1,13,11,1.39,18.09,151,369,54,190,49,37,17,52,30,42,42,38,51,37,36,49,37,23,35,32,21,18,12,70,33,8,38,25,4,32,8,241,79,80,129,32,141,100,55,14,30,2.52,41,29,28,1,0,1,0,0,0,0,0,0,1,0,0,0,18,0,0,0,18,0,1,9,33,58,80,191,9,15,1,3,46,21,36,4,5,33,11,7,0,0,0
