match_id,team,minute,player_number,player_name,outcome,body_part,delivery_type
75,Morocco,90,14,Issa DIOP,On Target - Goal,Head,Cross
75,Morocco,96,9,Soufiane RAHIMI,On Target - Saved,Right Foot,Ball Progression
76,Brazil,1,8,BRUNO GUIMARAES,Deflected Off Target - Defensive Event,Left Foot,Other
76,Brazil,9,8,BRUNO GUIMARAES,Deflected Off Target - Defensive Event,Left Foot,Pass
76,Brazil,13,9,MATHEUS CUNHA,Off Target - Saved,Left Foot,Pass
76,Brazil,13,8,BRUNO GUIMARAES,Off Target,Right Foot,Pass
76,Brazil,33,7,VINICIUS JUNIOR,On Target - Saved,Right Foot,Pass
76,Brazil,34,20,LUCAS PAQUETA,Incomplete - Blocked,Left Foot,Pass
76,Brazil,37,9,MATHEUS CUNHA,On Target - Saved,Right Foot,Pass
76,Brazil,45,20,LUCAS PAQUETA,Off Target,Head,Pass
76,Brazil,51,8,BRUNO GUIMARAES,On Target - Saved,Head,Pass
76,Brazil,52,19,ENDRICK,Incomplete - Player On Ball Error,Left Foot,Cross
76,Brazil,53,5,CASEMIRO,On Target - Goal Prevented,Head,Pass
76,Brazil,55,5,CASEMIRO,On Target - Goal,Head,Pass
76,Brazil,57,7,VINICIUS JUNIOR,On Target - Saved,Right Foot,Ball Progression
76,Brazil,57,9,MATHEUS CUNHA,Off Target,Right Foot,Loose Ball
76,Brazil,73,26,RAYAN,Deflected Off Target - Defensive Event,Head,Pass
76,Brazil,76,22,GABRIEL MARTINELLI,Off Target,Right Foot,Loose Ball
76,Brazil,88,7,VINICIUS JUNIOR,Deflected Off Target - Defensive Event,Right Foot,Pass
76,Brazil,93,17,FABINHO,Off Target,Head,Corner
76,Brazil,95,22,GABRIEL MARTINELLI,On Target - Goal,Right Foot,Pass
76,Japan,15,15,Daichi KAMADA,Deflected Off Target - Defensive Event,Right Foot,Freekick
76,Japan,27,18,Ayase UEDA,Off Target,Head,Corner
76,Japan,28,24,Kaishu SANO,On Target - Goal,Right Foot,Ball Progression
76,Japan,44,14,Junya ITO,Incomplete - Blocked,Left Foot,Pass
76,Japan,63,18,Ayase UEDA,Deflected On Target - Saved,Right Foot,Pass
77,France,14,3,Lucas DIGNE,On Target - Saved,Left Foot,Loose Ball
77,France,16,10,Kylian MBAPPE,On Target - Saved,Right Foot,Pass
77,France,18,12,Bradley BARCOLA,Off Target,Left Foot,Ball Progression
77,France,27,7,Ousmane DEMBELE,Deflected Off Target - Defensive Event,Right Foot,Pass
77,France,29,14,Adrien RABIOT,On Target - Saved,Left Foot,Pass
77,France,31,10,Kylian MBAPPE,Off Target,Right Foot,Cross
77,France,32,14,Adrien RABIOT,Off Target,Left Foot,Pass
77,France,35,11,Michael OLISE,Off Target,Left Foot,Loose Ball
77,France,35,7,Ousmane DEMBELE,Off Target,Left Foot,Other
77,France,38,4,Dayot UPAMECANO,Incomplete - Player On Ball Error,Head,Freekick
77,France,39,10,Kylian MBAPPE,On Target - Saved,Right Foot,Pass
77,France,41,11,Michael OLISE,Off Target,Left Foot,Pass
77,France,43,5,Jules KOUNDE,Incomplete - Defensive Event,Left Foot,Loose Ball
77,France,44,11,Michael OLISE,On Target - Saved,Left Foot,Pass
77,France,44,10,Kylian MBAPPE,On Target - Goal,Right Foot,Ball Progression
77,France,49,8,Aurelien TCHOUAMENI,Off Target,Right Foot,Pass
77,France,52,12,Bradley BARCOLA,On Target - Goal,Right Foot,Pass
77,France,60,11,Michael OLISE,On Target - Saved,Left Foot,Pass
77,France,64,11,Michael OLISE,Deflected Off Target - Defensive Event,Left Foot,Pass
77,France,65,4,Dayot UPAMECANO,Incomplete - Defensive Event,Right Foot,Pass
77,France,70,11,Michael OLISE,On Target - Saved,Left Foot,Pass
77,France,73,10,Kylian MBAPPE,On Target - Goal,Right Foot,Pass
77,France,80,20,Desire DOUE,On Target - Saved,Right Foot,Ball Progression
77,France,81,12,Bradley BARCOLA,On Target - Saved,Left Foot,Ball Progression
77,France,91,22,Jean-Philippe MATETA,Off Target,Left Foot,Cross
77,Sweden,2,9,Alexander ISAK,Deflected On Target - Saved,Right Foot,Pass
77,Sweden,27,9,Alexander ISAK,Off Target - Saved,Right Foot,Freekick
77,Sweden,46,24,Elliot STROUD,Off Target,Right Foot,Loose Ball
77,Sweden,56,7,Lucas BERGVALL,Off Target,Head,Corner
77,Sweden,85,19,Mattias SVANBERG,Off Target,Right Foot,Loose Ball
77,Sweden,88,17,Viktor GYOKERES,On Target - Saved,Right Foot,Loose Ball
77,Sweden,93,25,Gustaf NILSSON,Incomplete - Player On Ball Error,Head,Cross
77,Sweden,93,19,Mattias SVANBERG,On Target - Saved,Right Foot,Pass
78,Côte d'Ivoire,7,11,Yan DIOMANDE,Incomplete - Player On Ball Error,Head,Other
78,Côte d'Ivoire,20,3,Ghislain KONAN,Off Target,Right Foot,Ball Progression
78,Côte d'Ivoire,27,19,Nicolas PEPE,Incomplete - Player On Ball Error,Right Foot,Cross
78,Côte d'Ivoire,34,20,Emmanuel AGBADOU,On Target - Saved,Right Foot,Loose Ball
78,Côte d'Ivoire,46,20,Emmanuel AGBADOU,Off Target,Head,Freekick
78,Côte d'Ivoire,51,18,Ibrahim SANGARE,Off Target,Right Foot,Loose Ball
78,Côte d'Ivoire,54,19,Nicolas PEPE,On Target - Saved,Left Foot,Loose Ball
78,Côte d'Ivoire,56,8,Franck KESSIE,Deflected On Target - Saved,Right Foot,Pass
78,Côte d'Ivoire,58,20,Emmanuel AGBADOU,Off Target,Right Foot,Pass
78,Côte d'Ivoire,63,17,Guela DOUE,Incomplete - Blocked,Left Foot,Pass
78,Côte d'Ivoire,71,3,Ghislain KONAN,Incomplete - Blocked,Right Foot,Pass
78,Côte d'Ivoire,73,15,Amad DIALLO,On Target - Goal,Left Foot,Ball Progression
78,Côte d'Ivoire,95,15,Amad DIALLO,On Target - Saved,Left Foot,Freekick
78,Côte d'Ivoire,97,22,Evann GUESSAND,Incomplete - Player On Ball Error,Head,Corner
78,Norway,2,9,Erling HAALAND,Incomplete - Blocked,Head,Cross
78,Norway,36,9,Erling HAALAND,On Target - Saved,Head,Cross
78,Norway,37,10,Martin ODEGAARD,Incomplete - Blocked,Left Foot,Pass
78,Norway,38,20,Antonio NUSA,On Target - Goal,Right Foot,Pass
78,Norway,41,9,Erling HAALAND,Deflected Off Target - Defensive Event,Left Foot,Other
78,Norway,41,7,Alexander SORLOTH,Incomplete,Head,Corner
78,Norway,66,17,Torbjorn HEGGEM,On Target - Goal Prevented,Right Foot,Pass
78,Norway,85,9,Erling HAALAND,On Target - Goal,Left Foot,Cross
78,Norway,89,21,Andreas SCHJELDERUP,Off Target,Right Foot,Other
79,Mexico,3,25,Roberto ALVARADO,Incomplete - Blocked,Left Foot,Pass
79,Mexico,4,19,Gilberto MORA,Off Target,Right Foot,Pass
79,Mexico,5,7,Luis ROMO,Off Target,Right Foot,Pass
79,Mexico,6,9,Raul JIMENEZ,Off Target,Head,Cross
79,Mexico,13,25,Roberto ALVARADO,Deflected Off Target - Defensive Event,Right Foot,Pass
79,Mexico,14,19,Gilberto MORA,Off Target,Right Foot,Loose Ball
79,Mexico,21,16,Julian QUINONES,On Target - Goal,Right Foot,Pass
79,Mexico,30,9,Raul JIMENEZ,On Target - Goal,Right Foot,Pass
79,Mexico,43,9,Raul JIMENEZ,Off Target,Head,Cross
79,Mexico,44,9,Raul JIMENEZ,Off Target,Right Foot,Pass
79,Mexico,45,25,Roberto ALVARADO,Off Target,Left Foot,Pass
79,Mexico,51,19,Gilberto MORA,Incomplete - Blocked,Right Foot,Pass
79,Mexico,66,3,Cesar MONTES,On Target - Saved,Head,Corner
79,Mexico,66,5,Johan VASQUEZ,Off Target,Head,Corner
79,Mexico,91,17,Orbelin PINEDA,Off Target,Right Foot,Pass
79,Ecuador,17,9,John YEBOAH,Off Target,Left Foot,Ball Progression
79,Ecuador,39,9,John YEBOAH,On Target - Saved,Left Foot,Pass
79,Ecuador,50,15,Pedro VITE,Off Target,Left Foot,Pass
79,Ecuador,73,11,Kevin RODRIGUEZ,Off Target,Right Foot,Pass
79,Ecuador,84,23,Moises CAICEDO,Off Target,Right Foot,Other
79,Ecuador,87,26,Yaimar MEDINA,Incomplete,Head,Pass
