team,Control,Access,Line-breaking,Defensive approach,Attacking approach,Chance threat,matches,xg_for_per_match,xg_against_per_match,goals_per_match,xg_diff_per_match,goals_minus_xg_per_match,Control_pctile,Access_pctile,Line-breaking_pctile,Defensive approach_pctile,Attacking approach_pctile,Chance threat_pctile,Control_pctile_low,Control_pctile_high,Control_pctile_width,Control_loo_sd,Control_max_abs_delta,Access_pctile_low,Access_pctile_high,Access_pctile_width,Access_loo_sd,Access_max_abs_delta,Line-breaking_pctile_low,Line-breaking_pctile_high,Line-breaking_pctile_width,Line-breaking_loo_sd,Line-breaking_max_abs_delta,Defensive approach_pctile_low,Defensive approach_pctile_high,Defensive approach_pctile_width,Defensive approach_loo_sd,Defensive approach_max_abs_delta,Attacking approach_pctile_low,Attacking approach_pctile_high,Attacking approach_pctile_width,Attacking approach_loo_sd,Attacking approach_max_abs_delta,Chance threat_pctile_low,Chance threat_pctile_high,Chance threat_pctile_width,Chance threat_loo_sd,Chance threat_max_abs_delta,mean_pctile_uncertainty_width,max_pctile_uncertainty_width,max_score_shift_leave_one_out,stability_flag
Ghana,-0.6698431819429982,-1.0614956791604706,0.07746882605900024,-0.6670608651102514,-1.362121003982615,-0.8052212464828893,4,0.5825,1.2075,0.5,-0.625,-0.08250000000000002,27.083333333333332,6.25,60.416666666666664,20.833333333333336,18.75,16.666666666666664,10.416666666666668,37.5,27.083333333333332,0.2708193218392622,0.4307998499630653,2.083333333333333,8.333333333333332,6.249999999999999,0.13556439146799387,0.21691585786886802,37.5,87.5,50.0,0.41743859932839467,0.46811802076109715,12.5,50.0,37.5,0.32850427753139017,0.532726728547093,4.166666666666666,43.75,39.583333333333336,0.7805148729045362,1.2697106035637633,4.166666666666666,27.083333333333332,22.916666666666664,0.11427628179164777,0.15381132210332993,30.555555555555554,50.0,1.2697106035637633,Sample-sensitive
Haiti,-0.16013419163893264,-0.534974896374278,-0.5547451576613583,-0.32214494061693494,-0.5319739319250476,-0.8584264207953618,3,0.5366666666666666,1.4833333333333334,0.6666666666666666,-0.9466666666666668,0.13,41.66666666666667,31.25,27.083333333333332,39.58333333333333,39.58333333333333,10.416666666666668,33.33333333333333,54.166666666666664,20.833333333333336,0.23748432101235462,0.32172948477827995,8.333333333333332,50.0,41.66666666666667,0.3047351291988011,0.41874986345832144,2.083333333333333,41.66666666666667,39.583333333333336,0.35785035198577214,0.502399346048164,18.75,56.25,37.5,0.2851668695914449,0.3605399997191237,29.166666666666668,50.0,20.833333333333332,0.48649419869316163,0.6866170694817209,4.166666666666666,25.0,20.833333333333336,0.11416567794058012,0.16058288974309898,30.20833333333334,41.66666666666667,0.6866170694817209,Sample-sensitive
IR Iran,-0.8763183488635525,-0.7771972160485624,-0.02628982231415511,-1.0412343938899422,-1.4610091802266745,0.2869358771313207,3,1.5233333333333334,1.29,1.0,0.2333333333333334,-0.5233333333333334,14.583333333333334,18.75,52.083333333333336,12.5,12.5,72.91666666666666,10.416666666666668,27.083333333333332,16.666666666666664,0.1504113316559315,0.21262765412017692,6.25,31.25,25.0,0.21756812868122033,0.27327097933625166,4.166666666666666,87.5,83.33333333333333,0.5776064253126733,0.8118736896992348,4.166666666666666,16.666666666666664,12.499999999999998,0.28056247802364553,0.35434992374919316,10.416666666666668,18.75,8.333333333333332,0.08881733084201228,0.12526361421461885,54.166666666666664,91.66666666666666,37.49999999999999,0.4380623142166391,0.6055716203565062,30.555555555555557,83.33333333333333,0.8118736896992348,Sample-sensitive
Iraq,-0.7201002791377701,-0.5559044100965117,-0.12520895384957353,-1.2160290388037767,-1.0599841271812764,-0.6649530596590979,3,0.7033333333333333,2.47,0.3333333333333333,-1.766666666666667,-0.36999999999999994,22.916666666666664,29.166666666666668,47.91666666666667,6.25,25.0,29.166666666666668,6.25,33.33333333333333,27.08333333333333,0.3268295435373687,0.43421321535529567,8.333333333333332,50.0,41.66666666666667,0.2857877502979051,0.36592108578035587,8.333333333333332,75.0,66.66666666666667,0.4555747733981977,0.6405030474079185,0.0,16.666666666666664,16.666666666666664,0.5673006049171624,0.801553323626438,4.166666666666666,39.58333333333333,35.416666666666664,0.7285281807658514,1.0135004846530655,4.166666666666666,43.75,39.583333333333336,0.23458994085053556,0.28827530809303326,37.84722222222222,66.66666666666667,1.0135004846530655,Sample-sensitive
Japan,0.014528974110350326,0.1847180176716955,0.04798725717457722,-0.5631088553061075,0.12276563388549266,-0.5585427110341528,4,0.795,0.8325,2.0,-0.03749999999999998,1.205,50.0,62.5,58.333333333333336,25.0,50.0,35.41666666666667,35.41666666666667,56.25,20.83333333333333,0.1953249322522784,0.3328028354870438,52.083333333333336,83.33333333333334,31.250000000000007,0.15679277991272061,0.22748208173314882,29.166666666666668,75.0,45.83333333333333,0.3098687613045804,0.5352981271262431,14.583333333333334,50.0,35.416666666666664,0.29737594115943256,0.45156275997768724,39.58333333333333,68.75,29.16666666666667,0.34521579835908767,0.5232356008994163,16.666666666666664,45.83333333333333,29.166666666666664,0.19280472264243062,0.21862489808397823,31.944444444444443,45.83333333333333,0.5352981271262431,Sample-sensitive
Jordan,-1.371860328541738,-0.8289161017636233,1.0743837320743534,-0.28689252959585526,-3.0847183997751126,-0.7578202730045046,3,0.6233333333333334,2.1666666666666665,1.0,-1.543333333333333,0.3766666666666666,4.166666666666666,10.416666666666668,93.75,41.66666666666667,4.166666666666666,20.833333333333336,2.083333333333333,6.25,4.166666666666667,0.17093927962076985,0.21615283224966508,6.25,18.75,12.5,0.14143801480341672,0.18705892923314282,77.08333333333334,100.0,22.916666666666657,0.7239485321435398,0.9971429203679152,22.916666666666664,56.25,33.333333333333336,0.2312588799426683,0.3042501043476334,0.0,4.166666666666666,4.166666666666666,0.6735272948044746,0.8946509707839474,4.166666666666666,31.25,27.083333333333336,0.14267266651688998,0.19540809474762655,17.36111111111111,33.333333333333336,0.9971429203679152,Sample-sensitive
Korea Republic,0.8461753419305523,0.2772113385700598,-0.003039200988593486,1.1127010022698463,1.4648957004922387,-0.17353072237298753,3,1.1266666666666667,0.6233333333333334,0.6666666666666666,0.5033333333333333,-0.4600000000000001,95.83333333333334,68.75,56.25,93.75,95.83333333333334,50.0,85.41666666666666,100.0,14.583333333333343,0.2109453705336385,0.2973223779757087,50.0,87.5,37.5,0.27238817238309815,0.3791301889978448,35.41666666666667,75.0,39.58333333333333,0.2778548353928017,0.3806040962447842,87.5,97.91666666666666,10.416666666666657,0.312887679395978,0.43489353704763456,91.66666666666666,97.91666666666666,6.25,0.28758241823984493,0.39475650292919484,35.41666666666667,64.58333333333334,29.16666666666667,0.2658270473557268,0.37340358699298937,22.916666666666668,39.58333333333333,0.43489353704763456,Sample-sensitive
Mexico,0.14753795885178084,0.20339018007833326,-0.29670361001440415,0.3090694247262653,0.4161098040174733,0.3968287462567185,5,1.6179999999999999,0.8,2.0,0.8179999999999998,0.3820000000000001,54.166666666666664,64.58333333333334,41.66666666666667,77.08333333333334,60.416666666666664,77.08333333333334,45.83333333333333,72.91666666666666,27.08333333333333,0.17238004691570025,0.23033068743314156,52.083333333333336,75.0,22.916666666666664,0.1272957268132309,0.22033067489762515,12.5,50.0,37.5,0.19682951710585206,0.3591297375166633,56.25,81.25,25.0,0.2117258563649687,0.31611798488065246,45.83333333333333,85.41666666666666,39.58333333333333,0.37209645269497527,0.607666309782757,70.83333333333334,91.66666666666666,20.833333333333314,0.1882602181372527,0.37088843329821797,28.81944444444444,39.58333333333333,0.607666309782757,Sample-sensitive
Morocco,0.6941566939190965,0.23548484151182883,-0.4630044823715535,0.08405680449927495,0.8784116005074556,-0.21222539460024029,6,1.0933333333333333,1.1516666666666666,1.6666666666666667,-0.05833333333333335,0.5733333333333335,91.66666666666666,66.66666666666666,31.25,64.58333333333334,85.41666666666666,47.91666666666667,87.5,93.75,6.25,0.07496322449095753,0.12600582669243077,56.25,83.33333333333334,27.083333333333343,0.1551016872356164,0.24971196291065972,4.166666666666666,39.58333333333333,35.416666666666664,0.17564425560518093,0.37362543385797437,41.66666666666667,77.08333333333334,35.41666666666667,0.19366460415124306,0.3352683702771998,68.75,87.5,18.75,0.18468661250980933,0.3441148796610255,41.66666666666667,62.5,20.83333333333333,0.13959501879873343,0.23835918091987726,23.958333333333332,35.41666666666667,0.37362543385797437,Sample-sensitive
Netherlands,0.2731095155517215,0.116549541228295,0.2036974234434062,-0.368748517903068,0.7702006792122611,-0.03036043513215217,4,1.25,0.925,2.75,0.32499999999999996,1.5,62.5,58.333333333333336,72.91666666666666,37.5,79.16666666666666,58.333333333333336,39.58333333333333,93.75,54.16666666666667,0.35547762526547855,0.5398615069891982,50.0,83.33333333333334,33.33333333333334,0.25010140941668,0.35591602725383364,47.91666666666667,89.58333333333334,41.66666666666667,0.26550192492323493,0.4262841964657524,20.833333333333336,50.0,29.166666666666664,0.19968732780042814,0.2874235713801577,50.0,95.83333333333334,45.83333333333334,0.48643788135672195,0.7831198967914921,41.66666666666667,72.91666666666666,31.249999999999986,0.3072756566380125,0.3869467222725279,39.236111111111114,54.16666666666667,0.7831198967914921,Sample-sensitive
